Title,Authors,PDF Link,Year
"Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network","Chaojie Wang, Hao Zhang, Bo Chen, Dongsheng Wang, Zhengjue Wang, Mingyuan Zhou","https://papers.nips.cc//paper_files/paper/2020/file/05ee45de8d877c3949760a94fa691533-AuthorFeedback.pdf","2020"
"Efficient Algorithms for Smooth Minimax Optimization","Kiran K. Thekumparampil, Prateek Jain, Praneeth Netrapalli, Sewoong Oh","https://papers.nips.cc//paper_files/paper/2019/file/05d0abb9a864ae4981e933685b8b915c-AuthorFeedback.pdf","2019"
"Modeling Uncertainty by Learning a Hierarchy of Deep Neural Connections","Raanan Yehezkel Rohekar, Yaniv Gurwicz, Shami Nisimov, Gal Novik","https://papers.nips.cc//paper_files/paper/2019/file/063e26c670d07bb7c4d30e6fc69fe056-AuthorFeedback.pdf","2019"
"Robust exploration in linear quadratic reinforcement learning","Jack Umenberger, Mina Ferizbegovic, Thomas B. Schön, Håkan Hjalmarsson","https://papers.nips.cc//paper_files/paper/2019/file/060fd70a06ead2e1079d27612b84aff4-AuthorFeedback.pdf","2019"
"Meta-Surrogate Benchmarking for Hyperparameter Optimization","Aaron Klein, Zhenwen Dai, Frank Hutter, Neil Lawrence, Javier Gonzalez","https://papers.nips.cc//paper_files/paper/2019/file/0668e20b3c9e9185b04b3d2a9dc8fa2d-AuthorFeedback.pdf","2019"
"Time/Accuracy Tradeoffs for Learning a ReLU with respect to Gaussian Marginals","Surbhi Goel, Sushrut Karmalkar, Adam Klivans","https://papers.nips.cc//paper_files/paper/2019/file/067a26d87265ea39030f5bd82408ce7c-AuthorFeedback.pdf","2019"
"Bayesian Optimization under Heavy-tailed Payoffs","Sayak Ray Chowdhury, Aditya Gopalan","https://papers.nips.cc//paper_files/paper/2019/file/06a50e3f66db4a334202d3adfd31c589-AuthorFeedback.pdf","2019"
"Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee","Jincheng Bai, Qifan Song, Guang Cheng","https://papers.nips.cc//paper_files/paper/2020/file/05a624166c8eb8273b8464e8d9cb5bd9-AuthorFeedback.pdf","2020"
"Distribution Learning of a Random Spatial Field with a Location-Unaware Mobile Sensor","Meera Pai, Animesh Kumar","https://papers.nips.cc//paper_files/paper/2019/file/06bf16f1f0372a63d520eac6cf7c5af7-AuthorFeedback.pdf","2019"
"One-bit Supervision for Image Classification","Hengtong Hu, Lingxi Xie, Zewei Du, Richang Hong, Qi Tian","https://papers.nips.cc//paper_files/paper/2020/file/05f971b5ec196b8c65b75d2ef8267331-AuthorFeedback.pdf","2020"
